             x               y  bin
    -13.600067       13.600078  328
    -13.599905       14.400009  328
    -13.600048       15.200019  328
    -13.600099       15.999987  334
    -13.600069       16.800054  353
    -13.600095       17.599978  353
    -13.600081       18.400017  353
    -13.600087       19.200015  353
    -13.599922       19.999946  353
    -12.799916      -20.800086  158
     -12.79998      -19.999944  158
    -12.799984      -19.199995  158
    -12.800018      -18.399948  158
    -12.800044      -17.600055  158
    -12.800006       -16.79991  158
    -12.800006      -15.999941  158
    -12.799968      -15.200023  152
    -12.800061      -14.400007  152
    -12.799933      -13.599975  152
    -12.799911      -12.800002  152
    -12.799962      -11.999909  152
    -12.800048      -11.199973  152
    -12.800074      -10.400067  153
    -12.799925      -9.6000337  153
    -12.800065      -8.7999285  153
    -12.800098       -8.000009  151
    -12.800039      -7.1999094  151
    -12.800043      -6.4000604  151
    -12.800099       -5.599957  151
    -12.800064      -4.8000584  151
    -12.800024      -3.9999683  155
    -12.799939      -3.1999889  155
    -12.800031      -2.3999831  155
    -12.800032      -1.5999951  155
    -12.800078     -0.79993973  163
    -12.799968  -9.9264988e-05  163
     -12.80004      0.80003152  163
    -12.800054       1.5999549  163
    -12.799973        2.399936  172
    -12.799984       3.2000911  172
    -12.800027       3.9999988  172
    -12.800044       4.7999135  172
    -12.799996       5.5999293  178
    -12.800059       6.3999074  193
    -12.799909       7.1999238  193
    -12.800053       8.0000847  193
    -12.800072       8.8000213  193
    -12.800024       9.5999513  268
    -12.799903       10.399972  268
    -12.799902       11.200097  268
    -12.800011       11.999919  268
    -12.799951       12.799926  328
    -12.799991       13.599941  328
    -12.799979       14.400019  328
    -12.799924       15.199927  334
    -12.800087       15.999944  334
    -12.799974       16.799912  334
    -12.800063       17.599977  353
    -12.799961       18.400053  353
    -12.799963       19.199906  353
    -12.800096       20.000001  353
    -12.000092      -20.799993  158
    -11.999973      -19.999998  158
    -12.000072      -19.200085  158
    -11.999965      -18.399905  158
     -11.99994      -17.599927  158
    -12.000062      -16.799911  158
    -11.999994      -15.999952  158
    -11.999996      -15.200027  152
    -11.999976      -14.400027  152
    -12.000025      -13.599994  152
    -12.000052      -12.799969  152
    -11.999976      -12.000087  152
    -12.000053      -11.199903  152
    -11.999907      -10.400035  137
    -12.000071      -9.5999056  137
    -11.999921      -8.8000654  137
    -12.000005      -8.0000214  151
    -11.999944      -7.1999843  151
    -11.999923       -6.400077  151
    -12.000075      -5.5999767  151
    -12.000029      -4.7999479  151
    -12.000028      -3.9999514  155
    -11.999911      -3.1999194  155
    -12.000027      -2.3999162  155
    -11.999924       -1.599901  154
    -12.000002     -0.80008818  154
    -12.000021  -3.4306206e-05  154
    -12.000095      0.79995386  164
    -11.999926       1.5999445  164
     -11.99992       2.3999946  164
    -11.999948       3.1999359  172
    -11.999914       3.9999559  172
    -11.999913       4.8000319  178
    -12.000091       5.6000596  178
    -11.999915       6.3999796  178
    -12.000011       7.2000071  193
    -12.000031       8.0000517  193
    -11.999916       8.8000731  222
     -12.00002       9.6000717  222
    -11.999951       10.400076  222
    -12.000007       11.199913  289
    -11.999968        12.00003  289
    -12.000086       12.799926  289
