#              x               y      signal       noise
      -17.599973       1.6000278      133.88       12.14
      -17.600021       2.4000813      133.52       11.42
      -17.600012       3.2000016      116.56        9.96
      -17.600027       3.9999975      115.19        9.80
      -17.599907       4.8000161      120.82       11.27
      -17.600022       5.6000680      135.45       12.19
      -17.600018       6.3999423      141.52       12.48
      -17.599924       7.1999417      153.43       11.04
      -17.600059       8.0000871      162.25       12.77
      -17.600025       8.7999306      165.96       12.84
      -17.599991       9.5999715      193.02       14.07
      -17.599967       10.399940      190.93       13.75
      -17.600036       11.200029      179.01       13.41
      -17.600073       11.999924      175.39       12.68
      -17.599906       12.800023      144.48       11.93
      -17.599957       13.599945      130.81       11.62
      -17.600100       14.400016      112.67       10.61
      -17.600039       15.199948      110.06       10.92
      -17.600025       16.000063       92.18        9.64
      -17.599977       16.799927       83.78        9.27
      -17.600069       17.599930       76.09        8.56
      -17.600008       18.399986       55.84        8.00
      -17.600022       19.200027       51.64        7.50
      -17.599967       20.000050       36.20        5.98
      -17.600041       20.800009       35.03        6.93
      -16.799945      -20.000006       32.98        5.74
      -16.799931      -19.199960       37.04        6.64
      -16.800047      -18.399943       36.89        5.53
      -16.799935      -17.599964       39.68        5.91
      -16.799913      -16.800057       43.06        7.07
      -16.800077      -15.999949       42.24        5.90
      -16.800028      -15.200021       45.78        6.08
      -16.800006      -14.399908       51.18        7.56
      -16.800092      -13.600046       54.46        7.77
      -16.800022      -12.800063       58.98        6.63
      -16.799949      -12.000017       61.16        8.33
      -16.800024      -11.200002       72.88        8.94
      -16.800055      -10.399911       76.48        8.93
      -16.799959      -9.5999007       85.18        9.22
      -16.799918      -8.8000456       92.63        9.99
      -16.800083      -8.0000781      106.28       11.04
      -16.799933      -7.1999438      117.94       11.64
      -16.799982      -6.4000569      122.01       11.57
      -16.799947      -5.6000179      124.77       11.15
      -16.800095      -4.7999253      127.48       10.91
      -16.800022      -3.9999379      125.55       11.18
      -16.799918      -3.1999187      125.60       10.63
      -16.800060      -2.3999094      120.11       10.56
      -16.799982      -1.5999552      128.64       11.39
      -16.800035     -0.79996687      125.49       11.00
      -16.800012  8.9211760e-005      151.00       12.72
      -16.799929      0.79994610      152.64       12.19
      -16.800094       1.6000085      138.73       11.87
      -16.800054       2.4000348      128.70       11.17
      -16.799901       3.2000366      130.70       11.16
      -16.799978       4.0000787      116.26       11.03
      -16.800007       4.7999479      125.55       12.02
      -16.800028       5.6000812      128.29       10.83
      -16.800083       6.4000651      130.81       10.54
      -16.800027       7.2000314      145.27       11.55
      -16.800008       7.9999972      156.53       12.47
      -16.799964       8.8000254      167.53       12.55
      -16.799930       9.5999042      166.70       12.36
      -16.800099       10.400015      175.43       13.61
      -16.800082       11.200065      178.57       13.09
      -16.799908       12.000090      179.95       13.68
      -16.800090       12.800056      163.37       13.13
      -16.799931       13.599989      140.85       12.01
      -16.799918       14.399936      128.68       11.98
      -16.800017       15.199950      116.40       10.49
      -16.799908       16.000049      103.88       10.21
      -16.799943       16.800072       89.08        9.15
      -16.800065       17.600053       79.14        8.63
      -16.799961       18.400074       73.43        8.40
      -16.800044       19.200038       79.91        8.47
      -16.799961       20.000073       55.17        8.27
      -16.799922       20.800046       48.10        6.78
      -15.999917      -20.799988       31.99        5.71
      -15.999969      -19.999934       33.25        5.29
      -15.999975      -19.200022       39.21        6.03
      -15.999921      -18.400045       42.22        5.90
      -15.999987      -17.600001       44.13        6.69
      -15.999940      -16.800031       43.83        6.68
      -15.999950      -15.999966       45.50        7.13
      -15.999913      -15.200052       48.72        7.03
      -15.999989      -14.400079       49.35        7.63
      -15.999919      -13.600088       59.26        8.51
      -16.000096      -12.800054       69.66        8.69
      -16.000087      -12.000056       78.66        8.77
      -16.000031      -11.200038       77.83        8.59
      -15.999908      -10.400095       81.22        8.83
      -15.999956      -9.5999262       90.41        9.62
      -16.000090      -8.8000877      101.75        9.78
      -15.999971      -8.0000553      107.48       11.05
      -16.000068      -7.2000650      124.22       11.16
      -16.000073      -6.3999128      127.45       11.19
      -16.000025      -5.5999002      117.20       11.22
      -15.999994      -4.7999699      126.92       11.28
      -15.999953      -4.0000928      121.71       12.27
      -15.999934      -3.2000892      108.50       10.22
      -16.000015      -2.3999134      119.57       10.16
      -16.000021      -1.6000591      123.41       10.60
      -16.000052     -0.79998646      123.11       10.74
      -15.999953 -9.3426406e-006      135.04       11.98
      -16.000069      0.80001915      137.02       11.97
